State,Day,Month,Year,Hour,Minute,Crash_Type,Speed_Limit,Road_User,Gender,Age
WA,1,May,2016,8,0,Single,110,Driver,Male,40
QLD,1,May,2016,10,0,Single,100,Motor cycle rider,Male,60
QLD,1,May,2016,22,0,Single,40,Driver,Male,34
SA,2,May,2016,10,42,Single,80,Driver,Female,53
SA,2,May,2016,16,30,Multiple,70,Passenger,Male,83
VIC,2,May,2016,22,10,Multiple,110,Driver,Male,21
VIC,3,May,2016,19,45,Multiple,60,Driver,Male,40
NSW,4,May,2016,11,50,Multiple,80,Motor cycle rider,Male,46
VIC,4,May,2016,11,45,Multiple,-9,Driver,Female,87
QLD,4,May,2016,14,0,Multiple,100,Driver,Male,82
VIC,4,May,2016,18,34,Pedestrian,50,Pedestrian,Female,61
WA,5,May,2016,5,4,Multiple,110,Driver,Male,38
QLD,5,May,2016,8,0,Multiple,80,Passenger,Male,84
QLD,5,May,2016,8,0,Multiple,80,Passenger,Female,79
NSW,5,May,2016,16,0,Single,110,Passenger,Male,1
QLD,5,May,2016,20,0,Single,60,Passenger,Female,54
VIC,6,May,2016,18,0,Pedestrian,60,Pedestrian,Male,59
VIC,7,May,2016,10,55,Multiple,-9,Passenger,Male,31
WA,7,May,2016,15,35,Single,110,Driver,Male,70
VIC,7,May,2016,16,17,Single,-9,Motor cycle rider,Male,47
WA,8,May,2016,17,45,Multiple,70,Motor cycle rider,Female,53
WA,8,May,2016,22,30,Single,50,Driver,Male,45
VIC,9,May,2016,8,10,Single,100,Driver,Female,19
SA,9,May,2016,22,20,Single,110,Driver,Male,28
NSW,10,May,2016,8,43,Multiple,90,Driver,Male,30
WA,10,May,2016,10,30,Single,110,Driver,Male,59
VIC,10,May,2016,12,4,Pedestrian,70,Pedestrian,Female,43
NSW,10,May,2016,17,40,Pedestrian,80,Pedestrian,Male,75
SA,11,May,2016,6,55,Single,50,Bicyclist,Male,93
QLD,11,May,2016,18,0,Multiple,100,Driver,Male,58
SA,12,May,2016,13,49,Single,110,Driver,Male,39
WA,12,May,2016,14,57,Multiple,110,Passenger,Male,35
NSW,12,May,2016,17,30,Multiple,100,Driver,Male,52
NSW,12,May,2016,20,43,Pedestrian,50,Pedestrian,Male,40
TAS,12,May,2016,23,22,Single,100,Driver,Male,39
NSW,13,May,2016,5,15,Single,50,Driver,Male,76
NSW,13,May,2016,6,23,Multiple,70,Motor cycle rider,Male,49
WA,13,May,2016,6,53,Pedestrian,60,Pedestrian,Male,80
VIC,13,May,2016,7,28,Multiple,-9,Driver,Male,27
VIC,13,May,2016,22,40,Single,60,Driver,Female,19
NSW,13,May,2016,23,25,Single,100,Passenger,Male,68
NSW,13,May,2016,23,25,Single,100,Passenger,Male,16
NSW,14,May,2016,19,56,Multiple,80,Driver,Female,89
NSW,15,May,2016,15,30,Multiple,90,Motor cycle rider,Male,60
SA,15,May,2016,15,35,Single,50,Passenger,Female,92
NT,15,May,2016,17,0,Single,110,Passenger,Male,7
QLD,15,May,2016,20,0,Multiple,60,Motor cycle rider,Male,57
NSW,16,May,2016,4,30,Multiple,80,Passenger,Female,67
VIC,16,May,2016,6,55,Pedestrian,-9,Pedestrian,Male,63
VIC,16,May,2016,9,10,Multiple,80,Driver,Female,61
NSW,16,May,2016,10,49,Single,80,Driver,Male,49
NSW,16,May,2016,12,0,Single,110,Passenger,Female,90
VIC,16,May,2016,14,3,Single,80,Motor cycle rider,Male,54
QLD,16,May,2016,15,0,Multiple,-9,Driver,Male,26
QLD,16,May,2016,15,0,Multiple,-9,Driver,Male,78
QLD,16,May,2016,15,0,Multiple,80,Motor cycle rider,Male,30
NSW,17,May,2016,0,17,Multiple,100,Motor cycle rider,Male,51
VIC,17,May,2016,8,49,Multiple,-9,Driver,Male,38
VIC,18,May,2016,6,40,Multiple,80,Motor cycle rider,Male,36
QLD,18,May,2016,10,0,Pedestrian,50,Pedestrian,Female,85
QLD,18,May,2016,15,0,Multiple,60,Motor cycle rider,Male,55
WA,18,May,2016,19,50,Multiple,110,Driver,Male,38
WA,18,May,2016,19,50,Multiple,110,Driver,Female,32
NSW,20,May,2016,8,45,Pedestrian,60,Pedestrian,Female,60
NSW,20,May,2016,16,25,Multiple,110,Driver,Male,62
VIC,20,May,2016,18,15,Multiple,-9,Driver,Male,53
WA,20,May,2016,19,41,Single,100,Driver,Male,18
NSW,21,May,2016,0,20,Single,90,Driver,Male,23
NSW,21,May,2016,9,50,Multiple,80,Motor cycle rider,Male,36
QLD,21,May,2016,20,0,Multiple,80,Driver,Male,80
NSW,21,May,2016,21,45,Pedestrian,60,Pedestrian,Female,39
NSW,21,May,2016,21,57,Single,100,Driver,Male,27
NSW,22,May,2016,5,50,Single,80,Driver,Female,33
NSW,22,May,2016,6,0,Single,110,Driver,Male,24
QLD,22,May,2016,8,0,Single,100,Driver,Male,29
NSW,22,May,2016,18,20,Multiple,80,Driver,Male,48
VIC,22,May,2016,20,45,Single,50,Driver,Male,46
QLD,23,May,2016,10,0,Multiple,100,Driver,Female,23
QLD,23,May,2016,10,0,Multiple,100,Passenger,Female,18
VIC,23,May,2016,20,29,Multiple,50,Motor cycle rider,Male,32
SA,23,May,2016,20,55,Multiple,100,Passenger,Male,26
VIC,24,May,2016,8,37,Multiple,100,Driver,Male,48
NSW,24,May,2016,15,30,Multiple,50,Driver,Female,63
VIC,24,May,2016,20,15,Multiple,-9,Passenger,Male,17
VIC,24,May,2016,20,15,Multiple,-9,Driver,Male,19
QLD,24,May,2016,20,0,Pedestrian,60,Pedestrian,Male,50
QLD,25,May,2016,5,0,Pedestrian,60,Pedestrian,Male,79
NSW,25,May,2016,7,30,Single,60,Driver,Male,73
SA,25,May,2016,11,20,Multiple,50,Passenger,Female,82
VIC,26,May,2016,7,15,Pedestrian,60,Pedestrian,Male,48
SA,26,May,2016,11,48,Multiple,60,Driver,Male,67
NSW,26,May,2016,21,25,Pedestrian,50,Pedestrian,Male,71
VIC,26,May,2016,22,20,Single,-9,Driver,Male,0
NSW,27,May,2016,9,0,Pedestrian,50,Pedestrian,Male,96
NT,27,May,2016,18,20,Multiple,60,Driver,Male,34
NT,27,May,2016,18,20,Multiple,60,Passenger,Female,34
NSW,27,May,2016,22,0,Pedestrian,100,Pedestrian,Male,32
WA,28,May,2016,17,26,Multiple,80,Motor cycle rider,Male,42
VIC,29,May,2016,13,28,Single,100,Passenger,Female,15
NT,29,May,2016,15,6,Single,80,Motor cycle rider,Male,29
ACT,29,May,2016,15,15,Pedestrian,50,Pedestrian,Female,44
NSW,29,May,2016,16,0,Multiple,50,Driver,Male,62
QLD,29,May,2016,17,0,Single,-9,Passenger,Female,24
VIC,30,May,2016,13,20,Single,-9,Driver,Male,47
TAS,30,May,2016,13,0,Multiple,60,Driver,Male,79
NSW,30,May,2016,19,45,Single,50,Driver,Female,17
VIC,30,May,2016,20,45,Single,100,Driver,Female,45
QLD,31,May,2016,2,0,Single,50,Driver,Male,31
WA,31,May,2016,8,50,Multiple,70,Driver,Female,28
WA,31,May,2016,22,8,Single,80,Driver,Female,57
WA,1,May,2015,3,30,Single,110,Driver,Male,65
WA,1,May,2015,14,15,Single,110,Passenger,Male,28
QLD,1,May,2015,17,0,Single,60,Driver,Male,74
QLD,1,May,2015,17,0,Single,60,Passenger,Female,39
QLD,1,May,2015,17,0,Single,60,Passenger,Male,5
QLD,1,May,2015,17,0,Single,60,Driver,Male,49
QLD,1,May,2015,20,0,Single,60,Driver,Male,75
VIC,2,May,2015,0,50,Single,100,Driver,Male,31
QLD,2,May,2015,1,0,Single,60,Driver,Male,17
SA,2,May,2015,13,38,Multiple,80,Driver,Female,17
WA,2,May,2015,15,45,Multiple,110,Passenger,Male,26
NSW,2,May,2015,17,15,Single,100,Driver,Female,18
NSW,2,May,2015,17,15,Single,100,Passenger,Female,16
QLD,2,May,2015,19,0,Multiple,60,Passenger,Female,25
VIC,3,May,2015,10,11,Multiple,100,Driver,Male,19
NSW,3,May,2015,16,25,Multiple,50,Motor cycle rider,Male,23
ACT,3,May,2015,17,45,Single,60,Driver,Male,48
ACT,5,May,2015,18,0,Multiple,80,Motor cycle rider,Male,33
NSW,5,May,2015,19,0,Multiple,60,Motor cycle rider,Male,46
NSW,6,May,2015,11,40,Multiple,50,Driver,Male,93
NSW,6,May,2015,12,33,Multiple,50,Driver,Male,76
NT,6,May,2015,14,5,Single,110,Passenger,Female,14
NT,6,May,2015,14,25,Multiple,80,Motor cycle rider,Male,49
